佛学规范资料库,http://120.92.71.142:5001/static/datafile/foxueguifanziliaoku.csv
中国918爱国网,http://120.92.71.142:5001/static/datafile/zhongguo918aiguowang.csv
中国综合方志库,http://120.92.71.142:5001/static/datafile/zhongguozonghefangzhiku.csv
俄罗斯国家博物馆,http://120.92.71.142:5001/static/datafile/eluosiguojiabowuguan.csv
故宫博物院,http://120.92.71.142:5001/static/datafile/gugongbowuyuan.csv
香港科技大学-古籍及特藏阅览区,http://120.92.71.142:5001/static/datafile/xianggangkejidaxue-gujijitecangyuelanqu.csv
敦煌国际项目,http://120.92.71.142:5001/static/datafile/dunhuangguojixiangmu.csv
中华家谱馆数据库,http://120.92.71.142:5001/static/datafile/zhonghuajiapuguanshujuku.csv
近代史数位资料库,http://120.92.71.142:5001/static/datafile/jindaishishuweiziliaoku.csv
民族魂,http://120.92.71.142:5001/static/datafile/minzuhun.csv
上海博物馆典藏,http://120.92.71.142:5001/static/datafile/shanghaibowuguandiancang.csv
中国台湾网,http://120.92.71.142:5001/static/datafile/zhongguotaiwanwang.csv
东京博物馆,http://120.92.71.142:5001/static/datafile/dongjingbowuguan.csv
英国数据档案馆,http://120.92.71.142:5001/static/datafile/yingguoshujudanganguan.csv
联合国图片,http://120.92.71.142:5001/static/datafile/lianheguotupian.csv
西夏论著资源库,http://120.92.71.142:5001/static/datafile/xixialunzhuziyuanku.csv
敦煌学馆藏书目数据库,http://120.92.71.142:5001/static/datafile/dunhuangxueguancangshumushujuku.csv
南京博物院,http://120.92.71.142:5001/static/datafile/nanjingbowuyuan.csv
中国历史文化遗产保护网-新闻资讯,http://120.92.71.142:5001/static/datafile/zhongguolishiwenhuayichanbaohuwang-xinwenzixun.csv
中国文物信息网-新闻资讯,http://120.92.71.142:5001/static/datafile/zhongguowenwuxinxiwang-xinwenzixun.csv
浙江省博物馆-馆藏精品,http://120.92.71.142:5001/static/datafile/zhejiangshengbowuguan-guancangjingping.csv
敦煌藏经洞出土文献目录数据库,http://120.92.71.142:5001/static/datafile/dunhuangcangjindongwenxianmulushujuku.csv
敦煌学研究期刊目录数据库,http://120.92.71.142:5001/static/datafile/dunhuangxueyanjiuqikanmulushujuku.csv
发现中国-地图,http://120.92.71.142:5001/static/datafile/faxianzhongguoditu.csv
古诗文网古籍,http://120.92.71.142:5001/static/datafile/gushiwenwangguji.csv
古诗文网名句,http://120.92.71.142:5001/static/datafile/gushiwenwangmingju.csv
敦煌学期刊全文数据库,http://120.92.71.142:5001/static/datafile/dunhuangxueqikanquanwenshujuku.csv
中华电子佛典,http://120.92.71.142:5001/static/datafile/zhonghuadianzifodian.csv
中国哲学书电子化计划,http://120.92.71.142:5001/static/datafile/zhongguozhexuedianzihuajihua.csv
日本所藏中文古籍数据库,http://120.92.71.142:5001/static/datafile/ribensuocangzhongwengujishujuku.csv
中华经典古籍库,http://120.92.71.142:5001/static/datafile/zhonghuajingdiangujiku.csv
大都会艺术博物馆metmuseum,http://120.92.71.142:5001/static/datafile/daduhuiyishubowuguanMetmuseum.csv
亚洲艺术文献库,http://120.92.71.142:5001/static/datafile/yazhouyishuwenxianku.csv
芝加哥艺术院,http://120.92.71.142:5001/static/datafile/zhijiageyishuyuan.csv
全国报刊图片,http://120.92.71.142:5001/static/datafile/quanguobaokantupian.csv
Gallerix在线绘画艺术图库,http://120.92.71.142:5001/static/datafile/Gallerixzaixianhuihuayishutuku.csv
数字图书馆,http://120.92.71.142:5001/static/datafile/shuzitushuguan.csv
旧金山图片库,http://120.92.71.142:5001/static/datafile/jiuijinshantupianku.csv
中国国家地理,http://120.92.71.142:5001/static/datafile/zhongguoguojiadili.csv
国家科技报告文献库,http://120.92.71.142:5001/static/datafile/guojiakejibaogaowenxianku.csv
世界学术会议库,http://120.92.71.142:5001/static/datafile/shijiexueshuhuiyiku.csv
韩国知识产权局数据库,http://120.92.71.142:5001/static/datafile/hanguozhishichanquanshujuku.csv
商标数据库,http://120.92.71.142:5001/static/datafile/shangbiaoshujuku.csv
Citeseerx 免费论文搜索网,http://120.92.71.142:5001/static/datafile/citeseerx mianfeilunwensousuowang.csv
IEEE Xplore,http://120.92.71.142:5001/static/datafile/IEEE Xplore.csv
台湾学位论文库,http://120.92.71.142:5001/static/datafile/taiwanxueweilunwenku.csv
中国论文网,http://120.92.71.142:5001/static/datafile/zhongguolunwenwang.csv
ERIC教育资源信息中心,http://120.92.71.142:5001/static/datafile/ERICjiaoyuziyuanxinxizhongxin.csv
法律图书馆,http://120.92.71.142:5001/static/datafile/falvtushuguan.csv
Linker论文库,http://120.92.71.142:5001/static/datafile/Linkerlunwenku.csv
中国国家数字图书馆博士论文,http://120.92.71.142:5001/static/datafile/zhongguoguojiashuzitushuguanboshilunwen.csv
Semantic_Scholar,http://120.92.71.142:5001/static/datafile/Semantic_Scholar.csv
道客巴巴学术论文,http://120.92.71.142:5001/static/datafile/daokebabaxueshulunwen.csv
全国报刊索引（现代）,http://120.92.71.142:5001/static/datafile/quanguobaokansuoyin（xiandai）.csv
全国报刊索引（近代）,http://120.92.71.142:5001/static/datafile/quanguobaokansuoyin（jindai）.csv
全国报刊索引(会议论文),http://120.92.71.142:5001/static/datafile/quanguobankansuoyin（huiyilunwen）.csv
BookSC,http://120.92.71.142:5001/static/datafile/booksc.csv
国家图书馆出版社,http://120.92.71.142:5001/static/datafile/guojiatushuguanchubanshe.csv
牛津学术专著电子书数据库,http://120.92.71.142:5001/static/datafile/niujinxueshuzhuanzhudianzishushujuku.csv
世哲出版社数据库,http://120.92.71.142:5001/static/datafile/shizhechubansheshujuku.csv
加利福尼亚大学出版社数据库,http://120.92.71.142:5001/static/datafile/jialifuniyadaxuechubansheshujuku.csv
荷兰威科集团图书库,http://120.92.71.142:5001/static/datafile/helankeweijituantushuku.csv
阿帕比电子图书,http://120.92.71.142:5001/static/datafile/apabidianzitushu.csv
香港教育大学书目特藏,http://120.92.71.142:5001/static/datafile/xianggangjiaoyudaxueshumutecang.csv
爱教材,http://120.92.71.142:5001/static/datafile/aijiaocai.csv
七彩英语-英文电子书,http://120.92.71.142:5001/static/datafile/qicaiyingyu-yingwendianzishu.csv
Safari图书,http://120.92.71.142:5001/static/datafile/Safari tushu.csv
书格,http://120.92.71.142:5001/static/datafile/shuge.csv
上海之窗,http://120.92.71.142:5001/static/datafile/shangghaizhichuang.csv
悦读,http://120.92.71.142:5001/static/datafile/yuedu.csv
