Field,Value
MetaURL,http://120.92.71.142/gsdopensource/static/csvfile/elegangweishengkexuedaxue-meta.csv
DataURL,http://120.92.71.142/gsdopensource/static/datafile/elegangweishengkexuedaxue.json
ShortName,elegangweishengkexuedaxue
LongName,elegangweishengkexuedaxue
