Field,Value
MetaURL,http://120.92.71.142/gsdopensource/static/csvfile/mukewang-meta.csv
DataURL,http://120.92.71.142/gsdopensource/static/datafile/mukewang.csv
ShortName,mukewang
LongName,mukewang
