Field,Value
MetaURL,http://120.92.71.142/gsdopensource/static/csvfile/guojiatushuguanchubanshe-meta.csv
DataURL,http://120.92.71.142/gsdopensource/static/datafile/guojiatushuguanchubanshe.json
ShortName,guojiatushuguanchubanshe
LongName,guojiatushuguanchubanshe
