Field,Value
MetaURL,http://120.92.71.142:5001/static/csvfile/hujiangtiku-meta.csv
DataURL,http://120.92.71.142:5001/static/datafile/hujiangtiku.json
ShortName,hujiangtiku
LongName,hujiangtiku
