Field,Value
MetaURL,http://120.92.71.142:5001/static/csvfile/zhongguowenwuxinxiwang-xinwenzixun-meta.csv
DataURL,http://120.92.71.142:5001/static/datafile/zhongguowenwuxinxiwang-xinwenzixun.json
ShortName,zhongguowenwuxinxiwang-xinwenzixun
LongName,zhongguowenwuxinxiwang-xinwenzixun
