Field,Value
MetaURL,http://120.92.71.142:5001/static/csvfile/jiuijinshantupianku-meta.csv
DataURL,http://120.92.71.142:5001/static/datafile/jiuijinshantupianku.csv
ShortName,jiuijinshantupianku
LongName,jiuijinshantupianku
