Field,Value
MetaURL,http://120.92.71.142/gsdopensource/static/csvfile/fandebaodaxue-meta.csv
DataURL,http://120.92.71.142/gsdopensource/static/datafile/fandebaodaxue.json
ShortName,fandebaodaxue
LongName,fandebaodaxue
