Field,Value
MetaURL,http://120.92.71.142:5001/static/csvfile/neibulasijiadaxue-meta.csv
DataURL,http://120.92.71.142:5001/static/datafile/neibulasijiadaxue.json
ShortName,neibulasijiadaxue
LongName,neibulasijiadaxue
