Field,Value
MetaURL,http://120.92.71.142/gsdopensource/static/csvfile/ribensuocangzhongwengujishujuku-meta.csv
DataURL,http://120.92.71.142/gsdopensource/static/datafile/ribensuocangzhongwengujishujuku.csv
ShortName,ribensuocangzhongwengujishujuku
LongName,ribensuocangzhongwengujishujuku
