Field,Value
MetaURL,http://120.92.71.142/gsdopensource/static/csvfile/pizibaodaxue-meta.csv
DataURL,http://120.92.71.142/gsdopensource/static/datafile/pizibaodaxue.json
ShortName,pizibaodaxue
LongName,pizibaodaxue
