Field,Value
MetaURL,http://120.92.71.142/gsdopensource/static/csvfile/xuetangzaixian-meta.csv
DataURL,http://120.92.71.142/gsdopensource/static/datafile/xuetangzaixian.csv
ShortName,xuetangzaixian
LongName,xuetangzaixian
