Field,Value
MetaURL,http://120.92.71.142:5001/static/csvfile/gelunbiyadaxue-meta.csv
DataURL,http://120.92.71.142:5001/static/datafile/gelunbiyadaxue.csv
ShortName,gelunbiyadaxue
LongName,gelunbiyadaxue
