Field,Value
MetaURL,http://120.92.71.142/gsdopensource/static/csvfile/renmingjiaoyuchubanshe-meta.csv
DataURL,http://120.92.71.142/gsdopensource/static/datafile/renmingjiaoyuchubanshe.csv
ShortName,renmingjiaoyuchubanshe
LongName,renmingjiaoyuchubanshe
