Field,Value
MetaURL,http://120.92.71.142:5001/static/csvfile/Gallerixzaixianhuihuayishutuku-meta.csv
DataURL,http://120.92.71.142:5001/static/datafile/Gallerixzaixianhuihuayishutuku.json
ShortName,Gallerixzaixianhuihuayishutuku
LongName,Gallerixzaixianhuihuayishutuku
