Field,Value
MetaURL,http://120.92.71.142:5001/static/csvfile/dunhuangcangjindongwenxianmulushujuku-meta.csv
DataURL,http://120.92.71.142:5001/static/datafile/dunhuangcangjindongwenxianmulushujuku.json
ShortName,dunhuangcangjindongwenxianmulushujuku
LongName,dunhuangcangjindongwenxianmulushujuku
