Field,Value
MetaURL,http://120.92.71.142:5001/static/csvfile/bulangdaxue-meta.csv
DataURL,http://120.92.71.142:5001/static/datafile/bulangdaxue.json
ShortName,bulangdaxue
LongName,bulangdaxue
