Field,Value
MetaURL,http://120.92.71.142/gsdopensource/static/csvfile/renwuzhuanjiziliaoku-meta.csv
DataURL,http://120.92.71.142/gsdopensource/static/datafile/renwuzhuanjiziliaoku.csv
ShortName,renwuzhuanjiziliaoku
LongName,renwuzhuanjiziliaoku
