Field,Value
MetaURL,http://120.92.71.142/gsdopensource/static/csvfile/wangshangbaogaotingxueshujianshang-meta.csv
DataURL,http://120.92.71.142/gsdopensource/static/datafile/wangshangbaogaotingxueshujianshang.csv
ShortName,wangshangbaogaotingxueshujianshang
LongName,wangshangbaogaotingxueshujianshang
