Field,Value
MetaURL,http://120.92.71.142/gsdopensource/static/csvfile/jialifuniyadaxuechubansheshujuku-meta.csv
DataURL,http://120.92.71.142/gsdopensource/static/datafile/jialifuniyadaxuechubansheshujuku.csv
ShortName,jialifuniyadaxuechubansheshujuku
LongName,jialifuniyadaxuechubansheshujuku
