Field,Value
MetaURL,http://120.92.71.142:5001/static/csvfile/DART-Europe-meta.csv
DataURL,http://120.92.71.142:5001/static/datafile/DART-Europe.json
ShortName,DART-Europe
LongName,DART-Europe
