Field,Value
MetaURL,http://120.92.71.142/gsdopensource/static/csvfile/weikepu-meta.csv
DataURL,http://120.92.71.142/gsdopensource/static/datafile/weikepu.csv
ShortName,weikepu
LongName,weikepu
