Field,Value
MetaURL,http://120.92.71.142:5001/static/csvfile/yilinuoyidaxue-meta.csv
DataURL,http://120.92.71.142:5001/static/datafile/yilinuoyidaxue.json
ShortName,yilinuoyidaxue
LongName,yilinuoyidaxue
