Field,Value
MetaURL,http://120.92.71.142/gsdopensource/static/csvfile/xianggangligongdaxuexuezheku-meta.csv
DataURL,http://120.92.71.142/gsdopensource/static/datafile/xianggangligongdaxuexuezheku.csv
ShortName,xianggangligongdaxuexuezheku
LongName,xianggangligongdaxuexuezheku
