Field,Value
MetaURL,http://120.92.71.142:5001/static/csvfile/Safari tushu-meta.csv
DataURL,http://120.92.71.142:5001/static/datafile/Safari tushu.csv
ShortName,Safari tushu
LongName,Safari tushu
