Field,Value
MetaURL,http://120.92.71.142/gsdopensource/static/csvfile/CiNii ribenlunwen-meta.csv
DataURL,http://120.92.71.142/gsdopensource/static/datafile/CiNii ribenlunwen.json
ShortName,CiNii ribenlunwen
LongName,CiNii ribenlunwen
