Field,Value
MetaURL,http://120.92.71.142:5001/static/csvfile/Taylor & Francis Group-meta.csv
DataURL,http://120.92.71.142:5001/static/datafile/Taylor & Francis Group.json
ShortName,Taylor & Francis Group
LongName,Taylor & Francis Group
