Field,Value
MetaURL,http://120.92.71.142:5001/static/csvfile/baiduchuanke-meta.csv
DataURL,http://120.92.71.142:5001/static/datafile/baiduchuanke.csv
ShortName,baiduchuanke
LongName,baiduchuanke
