Field,Value
MetaURL,http://120.92.71.142/gsdopensource/static/csvfile/xindongfangzaixian-meta.csv
DataURL,http://120.92.71.142/gsdopensource/static/datafile/xindongfangzaixian.json
ShortName,xindongfangzaixian
LongName,xindongfangzaixian
