Field,Value
MetaURL,http://120.92.71.142/gsdopensource/static/csvfile/nanfoluolidadaxue-meta.csv
DataURL,http://120.92.71.142/gsdopensource/static/datafile/nanfoluolidadaxue.json
ShortName,nanfoluolidadaxue
LongName,nanfoluolidadaxue
