Field,Value
MetaURL,http://120.92.71.142:5001/static/csvfile/21shijijiaoyuzaixiantiku-meta.csv
DataURL,http://120.92.71.142:5001/static/datafile/21shijijiaoyuzaixiantiku.json
ShortName,21shijijiaoyuzaixiantiku
LongName,21shijijiaoyuzaixiantiku
