Field,Value
MetaURL,http://120.92.71.142:5001/static/csvfile/xianggangdaxuexueshuku-meta.csv
DataURL,http://120.92.71.142:5001/static/datafile/xianggangdaxuexueshuku.csv
ShortName,xianggangdaxuexueshuku
LongName,xianggangdaxuexueshuku
