Field,Value
MetaURL,http://120.92.71.142:5001/static/csvfile/yuehanhuopujinsidaxue-meta.csv
DataURL,http://120.92.71.142:5001/static/datafile/yuehanhuopujinsidaxue.json
ShortName,yuehanhuopujinsidaxue
LongName,yuehanhuopujinsidaxue
