Field,Value
MetaURL,http://120.92.71.142/gsdopensource/static/csvfile/OALib xueshuwenzhang-meta.csv
DataURL,http://120.92.71.142/gsdopensource/static/datafile/OALib xueshuwenzhang.csv
ShortName,OALib xueshuwenzhang
LongName,OALib xueshuwenzhang
