Field,Value
MetaURL,http://120.92.71.142/gsdopensource/static/csvfile/IEEE Xplore-meta.csv
DataURL,http://120.92.71.142/gsdopensource/static/datafile/IEEE Xplore.json
ShortName,IEEE Xplore
LongName,IEEE Xplore
