Field,Value
MetaURL,http://120.92.71.142:5001/static/csvfile/Natureshujuku-meta.csv
DataURL,http://120.92.71.142:5001/static/datafile/Natureshujuku.json
ShortName,Natureshujuku
LongName,Natureshujuku
