Field,Value
MetaURL,http://120.92.71.142/gsdopensource/static/csvfile/yiyuetong-meta.csv
DataURL,http://120.92.71.142/gsdopensource/static/datafile/yiyuetong.csv
ShortName,yiyuetong
LongName,yiyuetong
