Field,Value
MetaURL,http://120.92.71.142/gsdopensource/static/csvfile/yingguoshujudanganguan-meta.csv
DataURL,http://120.92.71.142/gsdopensource/static/datafile/yingguoshujudanganguan.json
ShortName,yingguoshujudanganguan
LongName,yingguoshujudanganguan
