Field,Value
MetaURL,http://120.92.71.142:5001/static/csvfile/Google Dataset Search-meta.csv
DataURL,http://120.92.71.142:5001/static/datafile/Google Dataset Search.csv
ShortName,Google Dataset Search
LongName,Google Dataset Search
