Field,Value
MetaURL,http://120.92.71.142/gsdopensource/static/csvfile/dunhuangxueguancangshumushujuku-meta.csv
DataURL,http://120.92.71.142/gsdopensource/static/datafile/dunhuangxueguancangshumushujuku.json
ShortName,dunhuangxueguancangshumushujuku
LongName,dunhuangxueguancangshumushujuku
