Field,Value
MetaURL,http://120.92.71.142/gsdopensource/static/csvfile/binzhouyindiannadaxue-meta.csv
DataURL,http://120.92.71.142/gsdopensource/static/datafile/binzhouyindiannadaxue.json
ShortName,binzhouyindiannadaxue
LongName,binzhouyindiannadaxue
