Field,Value
MetaURL,http://120.92.71.142:5001/static/csvfile/jiazhoudaxue-hebin-meta.csv
DataURL,http://120.92.71.142:5001/static/datafile/jiazhoudaxue-hebin.json
ShortName,jiazhoudaxue-hebin
LongName,jiazhoudaxue-hebin
