Field,Value
MetaURL,http://120.92.71.142/gsdopensource/static/csvfile/jianqiaozhishiku-meta.csv
DataURL,http://120.92.71.142/gsdopensource/static/datafile/jianqiaozhishiku.csv
ShortName,jianqiaozhishiku
LongName,jianqiaozhishiku
