Field,Value
MetaURL,http://120.92.71.142/gsdopensource/static/csvfile/qicaiyingyu-yingwendianzishu-meta.csv
DataURL,http://120.92.71.142/gsdopensource/static/datafile/qicaiyingyu-yingwendianzishu.json
ShortName,qicaiyingyu-yingwendianzishu
LongName,qicaiyingyu-yingwendianzishu
