Field,Value
MetaURL,http://120.92.71.142/gsdopensource/static/csvfile/OALib qikan-meta.csv
DataURL,http://120.92.71.142/gsdopensource/static/datafile/OALib qikan.json
ShortName,OALib qikan
LongName,OALib qikan
