Field,Value
MetaURL,http://120.92.71.142:5001/static/csvfile/jiazhoudaxue-shengdiyage-meta.csv
DataURL,http://120.92.71.142:5001/static/datafile/jiazhoudaxue-shengdiyage.csv
ShortName,jiazhoudaxue-shengdiyage
LongName,jiazhoudaxue-shengdiyage
