Field,Value
MetaURL,http://120.92.71.142/gsdopensource/static/csvfile/jiazhouligongxueyuan-meta.csv
DataURL,http://120.92.71.142/gsdopensource/static/datafile/jiazhouligongxueyuan.json
ShortName,jiazhouligongxueyuan
LongName,jiazhouligongxueyuan
