Field,Value
MetaURL,http://120.92.71.142:5001/static/csvfile/taiwanxueweilunwenku-meta.csv
DataURL,http://120.92.71.142:5001/static/datafile/taiwanxueweilunwenku.json
ShortName,taiwanxueweilunwenku
LongName,taiwanxueweilunwenku
