person_id,label_name,province,city,lon_lat
131,李国亮,辽宁省,沈阳市,"123.431472,41.805699"
132,李研,山东省,莱州市,"119.942327,37.176955"
133,俞兆岳,浙江省,杭州市,"120.15507,30.274085"
134,顾胖,江苏省,常州市,"119.974454,31.810076"
135,洪亮吉,江苏省,常州市,"119.974454,31.810076"
136,程焘,浙江省,杭州市,"120.15507,30.274085"
137,赵进美,山东省,青州市,"118.479622,36.68444"
138,阎泰和,山西省,汾阳市,"111.769894,37.261564"
139,冯如京,山西省,太原市,"112.550617,37.870675"
140,丁日昌,广东省,潮州市,"116.622597,23.656972"
141,丁士杰,北京市,,"116.407413,39.904214"
142,丁文盛,,,
143,纪昀,河北省,河间市,"116.099501,38.446553"
144,甯承勋,,,"116.407413,39.904214"
145,沈昌宇,浙江省,嘉兴市,"120.755487,30.746129"
146,唐光茂,湖南省,常德市,"111.698476,29.031679"
147,杨凯,江苏省,扬州市,"119.412966,32.39421"
148,倪承宽,浙江省,杭州市,"120.15507,30.274085"
149,汪晋征,安徽省,歙县,"118.414501,29.86168"
150,李嘉端,北京市,,"116.407413,39.904214"
151,杨锡绂,江西省,樟树市,"115.402991,28.001659"
152,贾汉复,山西省,临汾市,"111.51888,36.088067"
153,赵班玺,山东省,青州市,"118.479622,36.68444"
154,胡统虞,湖南省,常德市,"111.698476,29.031679"
155,宫尔劝,山东省,胶州市,"120.033344,36.264664"
156,阮元,江苏省,扬州市,"119.412966,32.39421"
157,(董鄂)席尔达,,,
158,刘k,山东省,济宁市,"116.783834,35.553144"
159,马宏琦,江苏省,扬州市,"119.412966,32.39421"
160,韩庭芑,山东省,济南市,"117.120496,36.650928"
161,(博尔济吉特)僧格林沁,,,"116.407413,39.904214"
162,刘V,云南省,,
163,潘思榘,江苏省,常州市,"119.974454,31.810076"
164,(兆佳)莽依图,,,
165,郝惟讷,北京市,,"116.407413,39.904214"
166,丁思孔,,,
167,梁维本,河北省,正定县,"114.570903,38.146434"
168,张鼎延,河南省,洛阳市,"112.45429,34.618451"
169,丁朝雄,江苏省,南京市,"118.796877,32.060255"
170,乔世臣,山东省,济宁市,"116.783834,35.553144"
171,陶正靖,江苏省,苏州市,"120.585297,31.298974"
172,李清植,福建省,泉州市,"118.675868,24.873888"
173,丁宝桢,贵州省,毕节市,
174,(富察)傅清,,,
175,(瓜尔佳)七十五,,,
176,李化熙,山东省,济南市,"117.120496,36.650928"
177,(戴佳)那苏图,,,
178,孙承泽,北京市,,"116.407413,39.904214"
179,耿仲明,,,
180,杜w,山东省,济南市,"117.120496,36.650928"
181,张廷,安徽省,安庆市,"117.054734,30.52403"
182,孔希贵,,,
183,方大猷,浙江省,湖州市,"120.086876,30.894285"
184,方受畴,安徽省,安庆市,"117.054734,30.52403"
185,王之纲,北京市,,"116.407413,39.904214"
186,王弘祚,云南省,保山市,"99.161471,25.112065"
187,初彭龄,山东省,蓬莱市,"120.758816,37.810573"
188,哈元生,河北省,河间市,"116.099501,38.446553"
189,(爱新觉罗)奕山,,,
190,王正志,河北省,河间市,"116.099501,38.446553"
191,王庆云,福建省,福州市,"119.296494,26.074508"
192,王鳌永,山东省,青州市,"118.479622,36.68444"
193,任珍,河南省,洛阳市,"112.45429,34.618451"
194,吴惟华,北京市,,"116.407413,39.904214"
195,姜,,,
196,柳寅东,四川省,阆中市,"106.005171,31.558262"
197,黄图安,山东省,聊城市,"115.985371,36.456704"
198,胡茂祯,,,
199,杨廷璋,,,
200,苗胙土,,,"116.407413,39.904214"
201,李元鼎,江西省,吉安市,"114.992911,27.113038"
202,徐杞,浙江省,杭州市,"120.15507,30.274085"
203,高斗光,山东省,济宁市,"116.783834,35.553144"
204,李鉴,四川省,成都市,"104.066586,30.572233"
205,叶初春,江西省,九江市,"115.990399,29.727458"
206,刘余钓,北京市,,"116.407413,39.904214"
207,刘应宾,山东省,青州市,"118.479622,36.68444"
208,刘枨之,山东省,青州市,"118.479622,36.68444"
209,陈景亮,福建省,福州市,"119.296494,26.074508"
210,沈初,浙江省,嘉兴市,"120.755487,30.746129"
211,潘士良,山东省,济宁市,"116.783834,35.553144"
212,卫周胤,山西省,临汾市,"111.51888,36.088067"
213,鲁国男,北京市,,"116.407413,39.904214"
214,戴明说,河北省,河间市,"116.099501,38.446553"
215,薛所蕴,河南省,沁阳市,"112.950514,35.087546"
216,谢启光,山东省,济南市,"117.120496,36.650928"
217,(吴雅)萨穆哈,,,
218,张忻,山东省,莱州市,"119.942327,37.176955"
219,(觉罗)雅尔哈善,,,
220,梁云构,河南省,开封市,"114.307582,34.797149"
221,陈之龙,江西省,宜春市,"114.416778,27.815619"
222,陈名夏,江苏省,南京市,"118.796877,32.060255"
223,傅景星,河南省,洛阳市,"112.45429,34.618451"
224,汪V,安徽省,歙县,"118.414501,29.86168"
225,马宁,,,
226,常进功,,,
227,张煊,山西省,汾阳市,"111.769894,37.261564"
228,晏端书,江苏省,扬州市,"119.412966,32.39421"
229,岳F,四川省,成都市,"104.066586,30.572233"
230,(托克托莫特)明谊,,,
